NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;IA14;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCRTAR;PCR;TAR;PERC_PCRTAR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS;CASOS_PCR;CASOS_TAR;POSITIVITAT_PCR_NUM;POSITIVITAT_TAR_NUM;POSITIVITAT_PCR_DEN;POSITIVITAT_TAR_DEN;VACUNATS_DOSI_1;VACUNATS_DOSI_2
CATALUNYA;GLOBAL;2021-08-25;2021-08-31;No;132.176;0.778091;169.8723;68.6412;5314;1832.9702;88170;53733;4.7669;534;102;82;2175;3139;2394;3173;69838;46947;60676;198094
CATALUNYA;GLOBAL;2021-08-25;2021-08-31;--;;;0.0000;0.0000;264;0.0000;9397;39;1.5669;34;3;0;156;108;141;5;9282;36;1053;962
CATALUNYA;GLOBAL;2021-08-25;2021-08-31;Si;;;367.0553;138.3516;98;14943.3887;9160;1425;1.5873;42;2;17;74;24;81;24;5722;893;82;141
CATALUNYA;GLOBAL;2021-08-24;2021-08-30;No;140.87;0.787986;178.7721;73.4076;5683;1823.5149;87199;53972;5.1333;557;113;82;2315;3368;2570;3393;68952;47210;60811;201716
CATALUNYA;GLOBAL;2021-08-24;2021-08-30;--;;;0.0000;0.0000;276;0.0000;9596;43;1.5548;40;4;0;158;118;141;7;9480;39;1099;952
CATALUNYA;GLOBAL;2021-08-24;2021-08-30;Si;;;368.4671;145.4103;103;15222.9155;9397;1386;1.5280;36;1;16;81;22;81;22;5837;904;84;163
CATALUNYA;GLOBAL;2021-08-23;2021-08-29;--;;;0.0000;0.0000;287;0.0000;9869;41;1.5734;46;8;0;165;122;147;7;9751;37;1167;951
CATALUNYA;GLOBAL;2021-08-23;2021-08-29;Si;;;413.6431;151.0574;107;16307.1406;10045;1506;1.4683;36;1;14;77;30;76;30;6246;973;82;177
CATALUNYA;GLOBAL;2021-08-23;2021-08-29;No;152.863;0.79826;191.4954;79.7241;6172;1837.4911;87335;54918;5.5131;581;112;87;2496;3676;2756;3701;69058;48062;65218;203749
CATALUNYA;GLOBAL;2021-08-22;2021-08-28;No;159.306;0.809198;196.8689;82.0104;6349;1838.3437;87191;55128;5.6556;609;114;93;2534;3815;2785;3837;68880;48207;65664;200428
CATALUNYA;GLOBAL;2021-08-22;2021-08-28;--;;;0.0000;0.0000;293;0.0000;9831;42;1.5998;49;9;1;167;126;148;8;9712;39;1165;949
